income,expenses,emi,savings,stress_score
132337,80908,53347,48303,44.868517496996304
146786,39357,46783,128495,21.777928412791407
89867,44053,1564,63638,21.665572457075456
48750,9351,24568,195416,9.706461538461543
18175,12255,4147,22853,36.55378266850069
143987,38271,71866,24081,32.41810024516102
142775,39559,58700,179793,24.002696550516546
73111,21660,8792,423322,0.0
86133,25759,2378,452201,0.0
131155,51740,33705,641082,5.5643322786016505
107410,25556,58935,463094,12.286844800297924
25947,5579,7574,117415,0.0
83152,38282,45178,414904,19.803492399461234
25929,7474,1004,49059,6.501022021674574
148183,79209,87417,127550,46.01998879763535
42390,8008,6973,36197,11.755956593536212
37629,9238,19445,173190,9.932498870551967
141555,51230,4007,203734,12.031436544099467
52714,11766,22843,142418,14.98520317183291
59350,19545,3369,259450,0.0
148136,83570,27570,545121,17.25235594318734
122691,97902,55310,578533,34.3532532948627
123153,46891,63980,460540,21.120476155676272
149157,35162,7426,565755,0.0
81917,14591,25867,302461,3.0753689710316543
116909,42216,59557,694618,13.43228493956839
99237,49342,31072,16598,36.54876709291897
39738,15169,19502,67970,30.164577985807032
49812,11565,20902,125349,15.811149923713163
50096,19619,15113,33318,28.323219418716064
83211,61395,33579,178842,42.28647654757184
18923,7189,2839,99429,0.0
121119,102030,21703,633125,24.287229914381726
141607,49145,49037,183391,24.728826964768693
80692,14383,5997,472680,0.0
131979,19943,30025,79992,13.624819100008336
85627,83438,24250,82451,55.235439756151685
106961,57550,24722,166798,28.350426791073378
34707,10639,20626,187402,14.098452761690723
124743,87806,57628,725847,28.673713154245135
84729,16275,21794,463357,0.0
96974,35359,26404,552693,4.1223420710705945
67006,31854,30879,22212,40.54562278004955
118810,27532,22138,594696,0.0
64411,39517,12141,340766,13.215366940429433
143378,33270,53487,818931,1.5241529383866421
117185,50992,45727,69567,34.397277808593245
88293,50165,25509,360483,19.550757138164975
64583,53575,18239,261768,32.50809036433738
32066,31042,3883,113748,35.51050957400362
70307,32064,11398,211059,14.277739058699705
98140,45154,7588,451097,3.1152944772773594
75302,67994,42922,412435,42.94746487477093
134822,22981,41262,346975,7.8967453382979045
18175,8343,4532,46554,20.118844566712518
57763,39913,6813,172445,24.339888856188217
146031,72533,81040,176647,40.98455122542474
50163,20876,19370,192533,17.063074377529254
47883,47692,4256,266156,28.35588831109162
73129,45232,18684,18407,39.88739077520546
134978,22080,43459,349124,8.125324126894752
57795,48416,4946,57208,40.35989272428411
98607,39137,57083,353617,25.070076160921637
130483,129717,49646,429064,48.484246990029355
33769,16461,8041,15378,31.620717225858034
118009,88257,40483,527341,28.77293257293935
98504,32745,21251,472056,1.2893892633801691
141542,72667,54774,365103,28.2516496870187
63197,13855,17864,230446,4.03626754434546
18664,9705,8878,9717,42.42311401628804
147540,122031,43410,680494,30.06289819709909
126813,7615,40662,466043,0.0
52051,18614,29218,146233,26.286814854661777
55110,26684,30170,141586,33.26202141172201
59789,22183,10452,350491,0.5436618776029043
16776,12342,1967,31273,32.15396995708154
123139,82897,15872,704416,13.815728566904063
71701,43019,31935,46047,44.60349228044239
17173,12440,4279,67050,26.66453153205614
82609,65488,10697,70795,40.53196382960694
104995,71213,61916,518710,32.79908567074622
143035,72395,84909,333026,37.41028419617577
113648,97982,18369,191368,41.15356187526398
32639,6143,15788,111627,11.658904990961734
82544,55565,15167,404802,16.48720682302772
62199,45823,6917,267531,19.778051094069035
39171,31837,13423,107850,40.578999770238184
144948,10711,73337,551219,4.918556999751637
81808,39225,3098,240467,10.791548503813807
49917,16560,9443,235955,0.5197628062583881
126028,71606,23861,291453,24.418978322277585
63232,11086,32311,146229,17.642886513157894
89321,33820,17868,34534,25.000279889387713
83300,29929,34594,234582,20.495798319327726
55500,34808,15237,83294,34.836216216216215
91750,36428,44422,520227,14.218310626703001
46630,13344,21433,271746,7.693973836585883
25615,7370,3076,53082,8.828030450907672
135326,27271,15886,732912,0.0
18580,8148,1933,95704,1.0882669537136707
70424,42956,21417,351150,17.731597182778597
55239,20063,21276,314973,8.566682959503254
115564,86792,29294,529918,24.76350766674743
45945,12564,14639,135158,11.70899989117423
38884,35602,3590,139194,31.57416932414361
20242,11378,2084,73425,14.086305701017682
80177,24360,39551,261887,18.59142896341844
141404,62221,40021,598180,12.170730672399646
44569,6720,2710,209241,0.0
15237,11478,1108,42890,26.49931088797008
135236,57859,68893,753005,16.7689816321098
78368,31603,37077,80266,33.96667006941609
138016,48231,73317,539458,19.17850104335729
36552,35740,4536,130376,36.01882249945284
66182,52518,34819,383115,35.721344172131396
99949,18478,49907,87019,24.863530400504256
22726,20638,12094,86806,47.594385285575996
89079,35937,45568,97584,35.15587287688456
56676,17964,28469,223859,16.19142141294375
86307,73460,43601,92975,57.37848610193843
114222,56223,22303,521266,9.603578995289872
80009,30718,23689,355144,8.845754852579084
94145,27675,55341,396047,17.177279728079032
117362,12041,52582,229045,13.29310168538369
51738,46102,11324,229202,31.15794966948858
111859,36753,2966,532170,0.0
75392,53567,219,244096,19.45339028013582
68437,50861,30214,92952,48.02738284845917
109401,89973,62138,481425,41.8373232420179
71339,13552,31590,90183,20.89018629361219
27680,12130,10313,143755,11.8143063583815
24702,9722,9760,14702,32.507084446603514
136973,125477,71358,785157,41.642111949070255
132767,108584,1004,501644,22.303283195372348
